player,country,start,end,matches,bat_innings,bowl_innings,field_innings,not_outs,runs,high_score,high_score_not_out,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes,overs,maidens,wickets,economy,best_bowling_innings,four_wickets,five_wickets,ten_wickets,dismissals,caught,caught_fielder,caught_behind,stumped,max_dismissals_innings
Sajad Ahmadzai,Belg,2022,2024,17,12,17,17,5,481,26,TRUE,17.595238095238095,102,56.32679738562092,0,0,3,4,5,52.4,0,18,7.29113924050633,3/22,0,0,0,1,1,1,0,0,1
Sajedul Islam,BAN,2008,2013,4,6,6,6,0,265,6,FALSE,Inf,0,Inf,0,0,1,0,0,1,0,3,9.60909090909091,2/71,0,0,0,1,1,1,0,0,1
Sajid Ali,Pakistan,1984,1997,13,0,0,13,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1
Sajid Cheema,KSA,2019,2024,12,12,0,12,0,233,52,FALSE,19.416666666666668,212,109.90566037735849,0,1,1,22,11,0,0,0,NA,NA,0,0,0,7,7,7,0,0,2
Sajid Khan,Pakistan,2021,2024,10,12,19,19,1,1515,48,TRUE,22.670454545454547,0,55.27272727272727,0,0,1,0,0,0,0,44,3.3429276315789473,8/42,0,3,2,5,5,5,0,0,1
Sajid Khan Afridi,GRC,2024,2024,4,4,3,4,0,142,31,FALSE,46.25,53,83.26415094339622,0,0,0,4,4,7,0,1,10.857142857142858,1/24,0,0,0,2,2,2,0,0,1
Sajid Liaqat,GER,2019,2024,9,4,9,9,1,328,15,FALSE,16.791666666666668,23,62.26449275362319,0,0,0,0,2,31.4,0,12,9.568421052631578,3/24,0,0,0,0,0,0,0,0,0
Sajid Patel,LES,2024,2024,4,4,1,4,0,54,42,FALSE,Inf,59,89.83050847457628,0,0,0,7,0,0,0,0,Inf,NA,0,0,0,0,0,0,0,0,0
Sajjad Ahmed,BAN,1995,1995,2,0,0,2,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Sajjad Akbar,Pakistan,1990,1990,2,1,1,2,0,90,NA,FALSE,22.5,0,30,0,0,0,0,0,0,0,2,4.5,2/45,0,0,0,0,0,0,0,0,0
Sakib Hasan,SRB,2019,2019,2,2,1,2,0,22,8,FALSE,Inf,7,Inf,0,0,0,1,0,1,0,0,13,NA,0,0,0,0,0,0,0,0,0
Salahuddin,Pakistan,1965,1969,5,8,5,9,2,304,34,TRUE,23.107142857142858,0,78,0,0,0,0,0,0,0,7,2.0549450549450547,2/36,0,0,0,3,3,3,0,0,1
Saleem Altaf,Pakistan,1967,1978,6,37,45,47,12,2288,53,TRUE,26.13775743707094,0,64.49456521739131,0,1,4,0,0,0,0,51,2.8716531393467424,4/11,0,0,0,4,4,4,0,0,2
Saleem Elahi,Pakistan,1995,2004,48,25,1,70,1,456,72,FALSE,Inf,0,Inf,0,1,6,0,0,0,0,0,10,NA,0,0,0,21,20,20,0,1,6
Saleem Jaffar,Pakistan,1986,1992,39,53,62,65,6,3945,10,TRUE,24.298148148148147,0,53.201388888888886,0,0,4,0,0,0,0,76,3.5321645282704983,5/40,0,1,0,5,5,5,0,0,2
Saleem Malik,Pakistan,1982,1999,283,274,150,461,22,12100,237,FALSE,44.98925207127454,0,66.2365168539326,15,29,12,0,0,0,0,94,4.2247657103320675,5/35,1,1,0,146,146,145,1,0,7
Saleem Pervez,Pakistan,1980,1980,1,0,0,1,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Saleem Raza,United Arab Emirates,1994,1996,6,6,6,6,0,358,NA,FALSE,59.666666666666664,0,64,0,0,0,0,0,0,0,3,5.59375,1/17,0,0,0,0,0,0,0,0,0
Saleem Yousuf,Pakistan,1982,1990,86,44,0,144,5,1055,91,TRUE,27.05128205128205,0,NA,0,5,2,0,0,0,0,0,NA,NA,0,0,0,207,172,0,172,35,9
Salman Butt,Pakistan,2003,2010,78,91,11,164,2,2770,122,FALSE,Inf,551,Inf,3,13,7,66,10,0,0,1,6.234211361472548,1/36,0,0,0,35,35,35,0,0,5
Salman Faris,United Arab Emirates,2014,2014,3,0,0,3,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Salman Farooq,United Arab Emirates,2014,2014,1,1,1,1,0,46,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,3.8333333333333335,NA,0,0,0,0,0,0,0,0,0
Salman Nazar,Canada,2021,2022,8,1,8,8,0,183,10,FALSE,11.178571428571429,9,61.55555555555556,0,0,0,1,0,28,0,14,6.178571428571429,3/8,0,0,0,5,5,5,0,0,3
Salvin Stanly,CAM,2023,2024,16,15,8,16,2,263,25,TRUE,18.115384615384613,140,55.4,0,0,2,13,4,13.1,0,5,9.873417721518988,2/8,0,0,0,4,4,4,0,0,1
Samader Shadab,GRC,2024,2024,4,4,3,4,0,111,14,FALSE,17.416666666666664,38,42.21052631578947,0,0,1,0,2,8,0,3,10.625,2/36,0,0,0,2,2,2,0,0,2
Sameer Zia,United Arab Emirates,2004,2004,1,1,1,1,0,88,NA,FALSE,44,0,60,0,0,0,0,0,0,0,1,4.4,1/44,0,0,0,2,2,2,0,0,2
Sami Aslam,Pakistan,2015,2017,4,25,0,29,1,758,91,FALSE,31.583333333333332,0,NA,0,7,0,0,0,0,0,0,NA,NA,0,0,0,7,7,7,0,0,2
Sami Faridi,Canada,2008,2008,3,3,3,3,0,126,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,6.3,NA,0,0,0,0,0,0,0,0,0
Sami Sohail,MWest Indies,2019,2024,46,42,34,46,18,2018,94,TRUE,35.35597826086956,1092,68.51278069756331,0,9,3,109,35,104.5,5,46,6.400635930047695,4/6,2,0,0,21,21,21,0,0,3
Sami Ullah,ROM,2020,2021,9,7,9,9,1,301,33,FALSE,15.333333333333334,55,101.96363636363635,0,0,1,13,4,28,1,15,6.964285714285714,3/10,0,0,0,2,2,2,0,0,2
