Player,Country,Start,End,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets,TenWickets
Da Warner,Australia,2009,2024,383,20,0,0,277,4,Inf,6.359649122807017,Inf,2/45,0,0,0
Dag Fletcher,Zimbabwe,1983,1983,6,6,0,0,221,7,31.571428571428573,4.40531561461794,43,4/42,1,0,0
Daj Bracewell,New Zealand,2011,2023,69,90,51.4,0,4188,120,31.60810810810811,5.808347222039139,41.453568953568954,6/40,1,2,0
Daj Holford,West Indies,1966,1977,24,35,0,0,2009,51,39.3921568627451,2.5029069767441863,94.43137254901961,5/23,0,1,0
Dan Mcrae,New Zealand,1946,1946,1,1,0,0,44,0,Inf,3.142857142857143,Inf,NA,0,0,0
Danish Aziz,Pakistan,2021,2021,4,3,3,0,56,2,Inf,7.533333333333333,Inf,2/29,0,0,0
Danish Jasnaik,BHR,2022,2022,9,5,15,0,133,3,44.333333333333336,8.866666666666667,30,2/17,0,0,0
Danish Kaneria,Pakistan,2000,2010,79,130,0,0,9765,276,40.16513409961686,3.9388804040537173,62.36896551724138,7/77,0,15,2
Danyal Akbar,HUN,2024,2024,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Danyal Raja,BUL,2023,2024,11,10,31,3,252,11,22.90909090909091,8.129032258064516,16.90909090909091,2/22,0,0,0
Dap Darrell,BER,2019,2019,11,1,2,0,14,0,Inf,7,Inf,NA,0,0,0
Dar Moloney,New Zealand,1937,1937,3,1,0,0,9,0,Inf,4.5,Inf,NA,0,0,0
Darwish Rasooli,Afghanistan,2022,2024,7,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Das Gunaratne,Sri Lanka,2016,2019,49,41,24.5,0,1041,30,37.22121212121212,5.933606444735796,39.903030303030306,3/10,0,0,0
David Demba,GMB,2023,2023,2,1,3,0,26,0,Inf,8.666666666666666,Inf,NA,0,0,0
Daw Hollis,BER,2008,2008,1,1,0,0,43,0,Inf,6.142857142857143,Inf,NA,0,0,0
Dawlat Ahmadzai,Afghanistan,2009,2010,5,5,4,0,167,3,72,8.991071428571429,62,1/40,0,0,0
Dawlat Zadran,Afghanistan,2011,2019,116,114,123.3,2,4403,155,27.132608695652173,6.692206719423209,25.64945652173913,4/44,4,0,0
Dawood Ahmadzai,Fran,2021,2024,27,27,92,1,588,31,18.967741935483872,6.391304347826087,17.806451612903224,6/21,0,1,0
Db Carr,England,1951,1952,2,2,0,0,140,2,70,4,105,2/84,0,0,0
Db Close,England,1949,1976,25,24,0,0,553,18,Inf,4.816831683168317,Inf,4/35,0,0,0
Db Kotze,Namibia,2003,2003,6,6,0,0,256,2,128,5.446808510638298,141,1/32,0,0,0
Db Loic,CAM,2021,2024,21,20,52.1,2,359,15,23.933333333333334,6.881789137380192,20.866666666666667,3/15,0,0,0
Db Pithey,South Africa,1963,1967,8,13,0,0,577,12,48.083333333333336,2.431179775280899,118.66666666666667,6/58,0,1,0
Db Rundle,South Africa,1994,1994,2,2,0,0,95,5,19,5.9375,19.2,4/42,1,0,0
Db Vengsarkar,India,1976,1992,245,7,0,0,40,0,Inf,4.297872340425532,Inf,NA,0,0,0
Dbl Powell,West Indies,2002,2009,97,126,17,0,6438,158,48.2980115990058,5.28949519898542,58.13322286661143,5/25,2,1,0
